time,temp_s(c)
17.803347280334727,32.972134591
17.89958158995816,32.931221423
17.99581589958159,32.9010741439
18.09205020920502,32.8809608338
18.188284518828453,32.8690581645
18.284518828451883,32.8632320244
18.380753138075313,32.8613482793
18.476987447698747,32.8612727952
18.573221757322177,32.8608714379
18.669456066945607,32.8580100732
18.765690376569037,32.8505545671
18.86192468619247,32.8363707853
18.9581589958159,32.8133245937
19.05439330543933,32.779392512
19.150627615062763,32.7344583131
19.246861924686193,32.6800143038
19.343096234309623,32.6176031567
19.439330543933053,32.5487675443
19.535564853556487,32.4750501393
19.631799163179917,32.397993614
19.728033472803347,32.3191406412
19.82426778242678,32.2400338934
19.92050209205021,32.1622160431
20.01673640167364,32.0872281532
20.11297071129707,32.0161226811
20.209205020920503,31.9487787464
20.305439330543933,31.884902959
