time,temp_w(c)
17.803347280334727,18.0336828447
17.89958158995816,18.0185461471
17.99581589958159,18.0008332147
18.09205020920502,17.980408698
18.188284518828453,17.9578911519
18.284518828451883,17.9341138091
18.380753138075313,17.9099099182
18.476987447698747,17.8861127275
18.573221757322177,17.8635554854
18.669456066945607,17.8430714402
18.765690376569037,17.8254938405
18.86192468619247,17.8116559344
18.9581589958159,17.8023909705
19.05439330543933,17.798480237
19.150627615062763,17.7998094238
19.246861924686193,17.8055088941
19.343096234309623,17.8146853606
19.439330543933053,17.8264455359
19.535564853556487,17.8398961326
19.631799163179917,17.8541438635
19.728033472803347,17.8682954411
19.82426778242678,17.8814575781
19.92050209205021,17.8927369872
20.01673640167364,17.9012416909
20.11297071129707,17.9064773521
20.209205020920503,17.9089045268
20.305439330543933,17.9091241641
