time,temp(c)
12.799163179916318,20.3139802849
12.895397489539748,20.3695974018
12.99163179916318,20.4232106665
13.087866108786612,20.4747996325
13.184100418410042,20.5242710452
13.280334728033473,20.5715080665
13.376569037656903,20.6163938464
13.472803347280335,20.6588115348
13.569037656903767,20.6986442814
13.665271966527197,20.7357752363
13.761506276150628,20.7700875493
13.857740585774058,20.8014643703
13.95397489539749,20.8297888491
14.05020920502092,20.8549370218
14.146443514644352,20.8766368692
14.242677824267783,20.894476481
14.338912133891213,20.9080384673
14.435146443514645,20.9169054382
14.531380753138075,20.9206600038
14.627615062761507,20.9188847743
14.723849372384937,20.9111623596
14.820083682008368,20.89707537
14.9163179916318,20.8762064155
15.01255230125523,20.8481386642
15.108786610878662,20.8128162733
15.205020920502092,20.7711651672
15.301255230125523,20.7242765961
15.397489539748953,20.6732418103
15.493723849372385,20.6191520602
15.589958158995817,20.5630985959
15.686192468619247,20.5061726679
15.782426778242678,20.4494655263
15.878661087866108,20.3940684214
15.97489539748954,20.3410726035
16.07112970711297,20.2914585314
16.167364016736403,20.2452065855
16.263598326359833,20.201766641
16.359832635983263,20.1605837024
16.456066945606693,20.1211027741
16.552301255230127,20.0827688603
16.648535564853557,20.0450269655
16.744769874476987,20.007322094
16.84100418410042,19.9690992503
16.93723849372385,19.9298034386
17.03347280334728,19.8888850965
17.12970711297071,19.8460890611
17.225941422594143,19.8015991958
17.322175732217573,19.7556351781
17.418410041841003,19.7084166857
17.514644351464437,19.6601633961
17.610878661087867,19.6110949871
17.707112970711297,19.5614311363
